name,street,place,dist,diesel,e5,e10,isOpen,houseNumber,postCode
star Tankstelle,Königin-Luise-Straße,Berlin,8.4,1.699,1.809,1.749,True,22a,14195
Shell Berlin Rudower Str. 102,Rudower Str.,Berlin,8.4,1.719,1.819,1.769,True,102,12351
KP Petrol GmbH,Kapweg,Berlin,8.4,1.659,1.689,1.629,True,2,13405
Shell Berlin Kaiserdamm 34,Kaiserdamm,Berlin,8.4,1.729,1.799,1.739,True,34,14057
Esso Tankstelle,HOLLAENDERSTR. 52,BERLIN,8.4,1.759,1.779,1.719,True,,13407
ENI,Belßstr.,Berlin,8.4,1.709,1.819,1.759,True,51,12249
JET BERLIN AM TIERPARK 126,AM TIERPARK,BERLIN,8.4,1.669,1.719,1.659,True,126,10319
Sprint Berlin Blankenburger Str.,Blankenburger Str.,Berlin,8.4,1.619,1.709,1.649,True,96-99,13089
star Tankstelle,Rhinstraße,Berlin,8.4,1.669,1.719,1.659,True,47,10315
Aral Tankstelle,Scharnweberstraße,Berlin,8.5,1.769,1.789,1.729,True,12-13,13405
JET BERLIN KURT-SCHUMACHER-DAMM 36,KURT-SCHUMACHER-DAMM,BERLIN,8.5,1.699,1.759,1.699,True,36,13405
TopTank Tankstelle,MARIENDORFER DAMM 341,BERLIN,8.6,1.699,1.809,1.749,True,,12107
Aral Tankstelle,Hohenzollerndamm,Berlin,8.6,1.739,1.809,1.749,True,97,14199
Esso Tankstelle,KAISER-WILHELM-STR. 34,BERLIN,8.6,1.719,1.829,1.769,True,,12247
star Tankstelle,Johannisthaler Ch.,Berlin,8.6,1.659,1.779,1.719,True,263-273,12351
"Berlin, Straße vor Schönholz 3",Straße vor Schönholz,Berlin,8.6,1.689,1.719,1.659,True,3,13158
"Berlin, Berliner Allee 320",Berliner Allee,Berlin,8.8,1.619,1.739,1.679,True,320,13088
Shell Berlin Letterhausweg 2,Letterhausweg,Berlin,8.8,1.729,1.799,1.739,True,2,13627
star Tankstelle,Malchower Chaussee,Berlin,8.8,1.669,1.739,1.679,True,1,13088
TotalEnergies Berlin,Rhinstr.,Berlin,8.8,1.709,1.759,1.699,True,175,13053
Shell Berlin Johannisthaler Chaussee 411,Johannisthaler Chaussee,Berlin,8.8,1.719,1.829,1.769,True,411,12351
Sprint Berlin Rudower Str.,Rudower Str.,Berlin,8.9,1.709,1.819,1.759,True,150,12351
Shell Berlin Buckower Damm 225,Buckower Damm,Berlin,8.9,1.719,1.829,1.769,True,225,12349
Shell Berlin Spandauer Damm 151,Spandauer Damm,Berlin,8.9,1.739,1.799,1.739,True,151,14050
"Berlin, Alt-Friedrichsfelde 61",Alt-Friedrichsfelde,Berlin,8.9,1.699,1.749,1.689,True,61,10315
star Tankstelle,Hansastraße,Berlin,9.0,1.619,1.739,1.679,True,199,13088
JET BERLIN RHINSTR. 240,RHINSTR.,BERLIN,9.1,1.669,1.719,1.659,True,240,13055
Q1 Tankstelle,Blankenburger Straße,Berlin,9.1,1.689,1.719,1.669,True,36,13156
Aral Tankstelle,Reichsstraße,Berlin,9.2,1.749,1.819,1.759,True,13-14,14052
TotalEnergies Berlin,Landsberger Allee,Berlin,9.2,1.709,1.759,1.699,True,376,12681
Shell Berlin Ollenhauerstr. 101,Ollenhauerstr.,Berlin,9.2,1.749,1.769,1.709,True,101,13403
Union Zapfstelle Berlin,Michael-Brückner-Str.,Berlin,9.2,1.689,1.739,1.689,True,26-31,12439
TotalEnergies Berlin,Wackenbergstr.,Berlin,9.2,1.699,1.739,1.679,True,2,13156
JET BERLIN MICHAEL- BRUECKNER- STR. 25,MICHAEL- BRUECKNER- STR.,BERLIN,9.3,1.699,1.739,1.689,True,25,12439
star Tankstelle,Hansastraße,Berlin,9.3,1.609,1.739,1.679,True,220,13051
TotalEnergies Berlin,Am Feuchten Winkel,Berlin,9.4,1.709,1.739,1.679,True,11,13127
Aral Tankstelle,Alt-Friedrichsfelde,Berlin,9.4,1.729,1.779,1.719,True,64,12683
Shell Berlin Koenigsberger Str. 8,Koenigsberger Str.,Berlin,9.4,1.729,1.809,1.769,True,8,12207
